album_ID,album_name,RecordStartDate,RecordEndDate
1,"Now 19","2019-03-09 00:00:00","2019-05-09 00:00:00"
2,"israeli Songs","2012-03-09 00:00:00","2012-04-09 00:00:00"
3,collection,"1997-09-24 00:00:00","1997-10-10 00:00:00"
4,"IDF Songs","1973-09-24 00:00:00","1973-09-28 00:00:00"
5,"indie folk","1973-09-27 00:00:00","1973-09-29 00:00:00"
6,"Holiday Edition","2012-03-10 00:00:00","2012-03-11 00:00:00"
7,Circles,"2012-03-11 00:00:00","2012-03-12 00:00:00"
8,"Love Songs","2012-03-12 00:00:00","2012-03-13 00:00:00"
9,classics,"2012-03-13 00:00:00","2012-03-14 00:00:00"
10,"The 80s","2012-03-14 00:00:00","2012-03-15 00:00:00"
